Town,Year,Substance,Gender,Measure Type,Variable,Value
Andover,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Ansonia,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Ashford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Avon,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,3
Barkhamsted,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Beacon Falls,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Berlin,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,7
Bethany,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Bethel,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,5
Bethlehem,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,2
Bloomfield,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Bolton,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Bozrah,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Branford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,5
Bridgeport,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,42
Bridgewater,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Bristol,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,7
Brookfield,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,4
Brooklyn,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Burlington,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Canaan,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Canterbury,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Canton,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,2
Chaplin,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Cheshire,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,8
Chester,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Clinton,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,4
Colchester,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,2
Colebrook,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Columbia,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Cornwall,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Coventry,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Cromwell,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
Danbury,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,10
Darien,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,14
Deep River,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Derby,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
Durham,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
East Granby,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
East Haddam,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
East Hampton,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
East Hartford,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
East Haven,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,1
East Lyme,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,0
East Windsor,2007,Alcohol,Male,Number,School suspensions and expulsions in past year,3
